--> Prueba: encontrar numero de ocurrencias en un archivo (todos)


Tiempo total de ejecucion: 4.050796985626221

Token | N# of occurrences | N# of filesw with token


--> Prueba: Buscando ocurrencias en todos los archivos.

a|27403|434
ability|94|52
abnormal|2|2
about|512|182
absence|22|21
absolutely|4|4
abuse|191|31
academy|12|8
access|174|55
accessed|7|6
accessible|7|7
achieve|36|31
across|35|24
act|275|69
action|155|54
actress|2|2
actually|38|28
addition|73|48
address|66|46
addressed|17|14
addressing|16|14
adequately|9|7
admitted|25|17
advances|13|12
adverse|7|6
advocates|15|11
affairs|61|38
affect|63|42
after|352|127
against|328|114
agencies|98|48
agreed|39|29
agreement|115|52
aids|66|21
aimed|25|21
alan|9|7
alert|22|11
all|865|267
alliance|55|35
allow|66|41
also|653|185
although|105|53
am|156|57
amend|4|4
american|581|136
americans|35|22
among|142|85
amounts|18|16
an|2916|308
analyzing|18|18
and|17169|383
another|181|76
antiviral|1|1
any|468|124
appeals|58|16
applications|72|41
appreciate|7|6
approach|113|52
appropriate|62|36
approved|56|26
april|134|52
are|1930|281
arena|9|7
arkansas|33|33
as|3488|304
ask|32|23
assessment|52|29
assistance|79|34
associated|60|35
association|133|59
associations|22|11
assuring|2|2
at|1727|318
attached|21|17
attempt|81|51
attempting|19|15
attempts|73|47
attorneys|57|24
audit|56|8
auditors|8|2
authority|122|48
automated|8|8
automation|10|6
avoid|39|25
award|25|16
azt|624|43
b|174|61
back|194|85
baker|18|18
balance|53|37
bar|147|59
barker|3|3
barriers|9|9
based|236|104
be|2155|273
became|27|19
because|303|105
become|99|61
becomes|47|30
been|535|158
before|220|96
behalf|24|17
being|297|135
believe|52|31
believed|22|19
believes|23|16
benefit|73|39
benefits|280|50
bennett|22|22
between|550|158
bill|146|48
bills|24|18
blood|37|17
blue|47|22
bolan|1|1
boston|18|10
both|369|142
bound|14|14
bout|1|1
breach|35|7
breaches|6|3
brelis|1|1
build|22|17
bureau|22|16
business|552|158
but|588|153
buttressing|1|1
by|3283|314
c|219|92
called|135|69
campaign|150|45
can|751|176
candid|1|1
cannot|97|41
care|432|55
case|506|173
cdt|53|9
cdts|3|2
center|169|80
central|141|73
ceos|2|1
chairman|73|35
changes|136|76
changing|84|49
cigna|1|1
cir|1|1
circuit|22|7
city|153|75
civil|209|71
claim|61|35
clerk|11|6
clerks|5|4
clinic|9|8
clinical|21|14
closely|27|21
coalitions|6|4
code|76|44
collection|27|22
colorado|42|38
columbia|15|12
coming|28|20
commend|4|3
commissioner|5|4
committee|101|49
common|117|55
communications|241|137
community|182|86
companies|123|50
companys|15|6
comply|11|7
component|22|17
comprehensive|67|43
compromised|1|1
computer|119|42
computerization|2|2
computerized|12|9
computerizing|1|1
computers|24|21
concede|3|3
concerns|29|24
concluded|26|10
conclusion|50|36
condit|3|1
conference|119|41
confidence|20|17
confidential|17|8
confidentiality|26|7
conflict|108|49
conform|5|4
confusion|11|10
congress|139|45
congressional|19|12
congresswoman|1|1
consensus|9|4
consent|48|16
consequences|54|33
consideration|34|23
constitutional|70|33
consumer|85|37
contact|135|81
contained|15|13
containing|19|15
continue|70|44
continued|49|39
contracts|39|20
control|266|104
controls|29|20
